mesh_code,land_ratio,ratio_clas
"45304427",1.000,more_half
"45304472",1.000,more_half
"45304477",0.897,more_half
"45305422",0.740,more_half
"45305427",0.117,less_half
"45305472",0.001,less_half
"45305477",0.000,less_half
"45303522",0.053,less_half
"45303527",0.000,less_half
"45303572",0.518,more_half
"45303577",0.000,less_half
"45304522",0.670,more_half
"45304527",0.000,less_half
"45304572",0.336,less_half
"45304577",0.000,less_half
"45304622",0.000,less_half
"45304627",0.134,less_half
"45304672",0.000,less_half
"45304677",0.174,less_half
"45305622",0.000,less_half
"45305627",0.286,less_half
"45305672",0.000,less_half
"45305677",0.074,less_half
"45304722",0.311,less_half
"45304727",0.021,less_half
"45304772",1.000,more_half
"45304777",0.502,more_half
"45305722",1.000,more_half
"45305727",0.536,more_half
"45305772",0.884,more_half
"45305777",0.484,less_half
"45306722",0.352,less_half
"45306727",0.766,more_half
"45306772",0.024,less_half
"45306777",0.924,more_half
"45307722",0.000,less_half
"45307727",0.789,more_half
"45307772",0.000,less_half
"45307777",0.859,more_half
"45316022",0.000,less_half
"45316027",0.000,less_half
"45316072",0.384,less_half
"45316077",0.000,less_half
"45317022",0.774,more_half
"45317027",0.000,less_half
"45317072",0.860,more_half
"45317077",0.000,less_half
"45405222",0.000,less_half
"45405227",0.000,less_half
"45405272",0.000,less_half
"45405277",0.000,less_half
"46291322",0.000,less_half
"46291327",0.000,less_half
"46291372",0.002,less_half
"46291377",0.000,less_half
"46292322",0.012,less_half
"46292327",0.008,less_half
"46292372",0.000,less_half
"46292377",0.000,less_half
"46295322",0.000,less_half
"46295327",0.000,less_half
"46295372",0.001,less_half
"46295377",0.000,less_half
"46296322",0.005,less_half
"46296327",0.079,less_half
"46296372",0.000,less_half
"46296377",0.003,less_half
"46297522",0.000,less_half
"46297527",0.000,less_half
"46297572",0.000,less_half
"46297577",0.000,less_half
"46291722",0.000,less_half
"46291727",0.000,less_half
"46291772",0.187,less_half
"46291777",0.147,less_half
"46292722",0.141,less_half
"46292727",0.083,less_half
"46292772",0.000,less_half
"46292777",0.000,less_half
"46300022",0.000,less_half
"46300027",0.000,less_half
"46300072",0.000,less_half
"46300077",0.000,less_half
"46301022",0.000,less_half
"46301027",0.000,less_half
"46301072",0.000,less_half
"46301077",0.000,less_half
"46306122",0.000,less_half
"46306127",0.000,less_half
"46306172",0.000,less_half
"46306177",0.001,less_half
"46307122",0.000,less_half
"46307127",0.477,less_half
"46307172",0.035,less_half
"46307177",0.700,more_half
"46300222",0.000,less_half
"46300227",0.000,less_half
"46300272",0.000,less_half
"46300277",0.000,less_half
"46301222",0.218,less_half
"46301227",0.028,less_half
"46301272",0.147,less_half
"46301277",0.028,less_half
"46306222",0.000,less_half
"46306227",0.000,less_half
"46306272",0.004,less_half
"46306277",0.000,less_half
"46307222",0.773,more_half
"46307227",0.906,more_half
"46307272",1.000,more_half
"46307277",1.000,more_half
"46301322",0.000,less_half
"46301327",0.000,less_half
"46301372",0.125,less_half
"46301377",0.030,less_half
"46306322",0.000,less_half
"46306327",0.000,less_half
"46306372",0.018,less_half
"46306377",0.152,less_half
"46307322",0.971,more_half
"46307327",0.987,more_half
"46307372",1.000,more_half
"46307377",1.000,more_half
"46305422",0.000,less_half
"46305427",0.000,less_half
"46305472",0.014,less_half
"46305477",0.029,less_half
"46306422",0.757,more_half
"46306427",0.765,more_half
"46306472",0.774,more_half
"46306477",0.750,more_half
"46307422",0.998,more_half
"46307427",0.941,more_half
"46307472",0.999,more_half
"46307477",0.227,less_half
"46303522",0.000,less_half
"46303527",0.000,less_half
"46303572",0.015,less_half
"46303577",0.000,less_half
"46304522",0.244,less_half
"46304527",0.167,less_half
"46304572",0.280,less_half
"46304577",0.888,more_half
"46305522",0.040,less_half
"46305527",0.705,more_half
"46305572",0.000,less_half
"46305577",0.039,less_half
"46306522",0.136,less_half
"46306527",0.000,less_half
"46306572",0.384,less_half
"46306577",0.000,less_half
"46307522",0.309,less_half
"46307527",0.000,less_half
"46307572",0.000,less_half
"46307577",0.000,less_half
"46300622",0.000,less_half
"46300627",0.000,less_half
"46300672",0.000,less_half
"46300677",0.230,less_half
"46301622",0.000,less_half
"46301627",0.068,less_half
"46301672",0.000,less_half
"46301677",0.000,less_half
"46304622",0.000,less_half
"46304627",0.000,less_half
"46304672",0.297,less_half
"46304677",0.000,less_half
"46305622",0.990,more_half
"46305627",0.801,more_half
"46305672",0.958,more_half
"46305677",1.000,more_half
"46306622",0.826,more_half
"46306627",1.000,more_half
"46306672",0.693,more_half
"46306677",1.000,more_half
"46307622",0.343,less_half
"46307627",1.000,more_half
"46307672",0.264,less_half
"46307677",1.000,more_half
"46300722",0.000,less_half
"46300727",0.700,more_half
"46300772",0.000,less_half
"46300777",0.217,less_half
"46305722",0.285,less_half
"46305727",0.000,less_half
"46305772",0.998,more_half
"46305777",0.442,less_half
"46306722",1.000,more_half
"46306727",0.907,more_half
"46306772",1.000,more_half
"46306777",1.000,more_half
"46307722",1.000,more_half
"46307727",1.000,more_half
"46307772",1.000,more_half
"46307777",1.000,more_half
"46310022",0.983,more_half
"46310027",0.098,less_half
"46310072",0.998,more_half
"46310077",0.171,less_half
"46311022",0.900,more_half
"46311027",0.225,less_half
"46311072",0.527,more_half
"46311077",0.096,less_half
"46312022",0.015,less_half
"46312027",0.000,less_half
"46312072",0.000,less_half
"46312077",0.000,less_half
"46316022",0.044,less_half
"46316027",0.000,less_half
"46316072",0.623,more_half
"46316077",0.120,less_half
"46317022",1.000,more_half
"46317027",0.582,more_half
"46317072",1.000,more_half
"46317077",0.563,more_half
"46317122",0.022,less_half
"46317127",0.000,less_half
"46317172",0.000,less_half
"46317177",0.000,less_half
"47287222",0.000,less_half
"47287227",0.000,less_half
"47287272",0.000,less_half
"47287277",0.019,less_half
"47291522",0.000,less_half
"47291527",0.001,less_half
"47291572",0.000,less_half
"47291577",0.000,less_half
"47293522",0.003,less_half
"47293527",0.012,less_half
"47293572",0.285,less_half
"47293577",0.546,more_half
"47294522",0.032,less_half
"47294527",0.740,more_half
"47294572",0.000,less_half
"47294577",0.371,less_half
"47294622",0.000,less_half
"47294627",0.000,less_half
"47294672",0.258,less_half
"47294677",0.000,less_half
"47295622",0.163,less_half
"47295627",0.071,less_half
"47295672",0.000,less_half
"47295677",0.302,less_half
"47296622",0.000,less_half
"47296627",0.615,more_half
"47296672",0.000,less_half
"47296677",0.074,less_half
"47295722",0.000,less_half
"47295727",0.000,less_half
"47295772",0.366,less_half
"47295777",0.000,less_half
"47296722",0.467,less_half
"47296727",0.011,less_half
"47296772",0.000,less_half
"47296777",0.000,less_half
"47300022",0.000,less_half
"47300027",0.000,less_half
"47300072",0.000,less_half
"47300077",0.015,less_half
"47301022",0.000,less_half
